temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
289.52,289.46,289.52,289.52,1025,86,21,1.49,112,Clouds,0
293.52,293.05,293.52,293.52,1009,55,94,8.97,294,Rain,0
293.52,293.41,293.52,293.52,1027,69,46,2.22,297,Clouds,0
288.95,287.89,288.95,288.95,1004,50,98,5.93,334,Clouds,0
288.52,288.44,288.52,288.52,1006,89,100,4.37,310,Clouds,0
289.52,289.67,289.52,289.52,1009,94,0,2.55,304,Clear,0
288.52,288.28,288.52,288.52,1009,83,100,3.24,278,Clouds,0
295.52,294.65,295.52,295.52,1008,32,81,5.99,291,Clouds,0
306.52,308.77,306.52,306.52,1014,45,9,2.58,220,Clear,0
286.52,286.21,286.52,286.52,1011,88,2,2.37,266,Clear,0
294.52,294.28,294.52,294.52,1023,60,62,3.86,5,Clouds,0
294.52,294.2,294.52,294.52,1019,57,92,4.18,350,Clouds,0
289.52,288.83,289.52,289.52,1035,62,12,1.74,95,Clouds,0
291.52,291.11,291.52,291.52,1001,65,67,5.59,328,Clouds,0
287.52,287.02,287.52,287.52,1007,77,99,2.9,356,Clouds,0
290.52,290.17,290.52,290.52,998,71,82,3.76,297,Clouds,0
300.52,300.79,300.52,300.52,1019,48,0,3.67,11,Clear,0
297.52,297.58,297.52,297.52,1011,60,100,4.89,10,Clouds,0
293.52,293.18,293.52,293.52,1005,60,99,1.23,21,Clouds,1
297.52,297.14,297.52,297.52,1003,43,100,4.92,269,Clouds,0
289.52,288.91,289.52,289.52,1006,65,84,5.27,322,Clouds,0
290.52,290.64,290.52,290.52,998,89,35,2.2,228,Clouds,0
287.52,287.41,287.52,287.52,999,92,22,2.19,287,Clouds,0
292.52,292.26,292.52,292.52,1008,67,88,4.05,253,Rain,0
292.52,291.92,292.52,292.52,1026,54,2,2.44,341,Clear,0
290.52,290.43,290.52,290.52,1003,81,100,5.46,356,Rain,1
297.52,297.06,297.52,297.52,1029,40,0,2.04,273,Clear,0
288.52,288.62,288.52,288.52,991,96,100,2.08,264,Rain,1
295.52,295.01,295.52,295.52,1026,46,9,3.85,6,Clear,0
297.52,298.02,297.52,297.52,1008,77,61,3.5,36,Rain,0
291.52,291.21,291.52,291.52,1028,69,86,2.27,319,Clouds,0
290.52,290.4,290.52,290.52,998,80,78,1.7,32,Clouds,1
294.52,294.46,294.52,294.52,999,67,66,4.08,302,Clouds,0
288.52,288.2,288.52,288.52,1020,80,52,1.15,310,Clouds,0
288.52,288.65,288.52,288.52,996,97,100,3.74,84,Rain,1
